table,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
table_3_1_database_schema.csv,symbol,TEXT,,PK part (symbol, timestamp),NOT NULL,Symbol ticker (e.g., BTC),,,
table_3_1_database_schema.csv,price_usd,NUMERIC(18,8),USD,none,NOT NULL,Price in USD at snapshot,Decimal precision example (18,8),,
table_3_1_database_schema.csv,volume_24h_usd,NUMERIC(24,2),USD,none,NULLABLE,24-hour trade volume in USD,May exceed 1e9 for high-turnover coins,,,
table_3_1_database_schema.csv,percent_change_24h,NUMERIC(8,4),%,none,NULLABLE,Percentage change vs 24h ago (may be null),Nullable if API omits value,,,
table_3_1_database_schema.csv,market_cap_usd,NUMERIC(24,2),USD,none,NOT NULL,Market capitalization in USD,Use BIGINT if needed for some DB engines,,,
table_3_1_database_schema.csv,timestamp,TIMESTAMP,UTC,PK part (symbol, timestamp),NOT NULL,UTC timestamp of snapshot,Prefer TIMESTAMP WITHOUT TIME ZONE and store UTC,,,
table_4_1_core_libraries.csv,requests,HTTP client,Not pinned,Calls CoinMarketCap API,,,,,,,
table_4_1_core_libraries.csv,psycopg2-binary,Postgres client,Not pinned,DB connector for PostgreSQL/Supabase,,,,,,,
table_4_1_core_libraries.csv,python-dotenv,Environment loader,Not pinned,Loads .env variables (API keys, DB creds),,,,,,
table_4_1_core_libraries.csv,pandas,Data handling,Not pinned,Tabular data, cleaning, and feature engineering,,,,,
table_4_1_core_libraries.csv,streamlit,UI framework,Not pinned,Web app for dashboard and ML pages,,,,,,,
table_4_1_core_libraries.csv,plotly,Interactive plotting,Not pinned,Charts like line, candlestick, and pie,,,,,
table_4_1_core_libraries.csv,sqlalchemy,DB ORM (optional),Not pinned,Optional higher-level DB access,,,,,,,
table_4_1_core_libraries.csv,numpy,Numeric computations,Not pinned,Array-level math and statistics,,,,,,,
table_4_1_core_libraries.csv,scikit-learn,Utility ML tools,Not pinned,Metrics + preprocessing utilities,,,,,,,
table_4_1_core_libraries.csv,xgboost,Modeling,Not pinned,XGBoost regressor,,,,,,,
table_4_1_core_libraries.csv,prophet,Time-series model,Not pinned,Prophet time-series forecasting,,,,,,,
table_4_1_core_libraries.csv,seaborn,Statistical plotting,Not pinned,Heatmaps and styled charts,,,,,,,
table_4_1_core_libraries.csv,matplotlib,Basic plotting,Not pinned,Utility plotting for static figures,,,,,,,
table_4_1_core_libraries.csv,langchain-core,Utility,0.2.9,Used for project helper tools,,,,,,,
table_4_1_core_libraries.csv,langchain-community,Utility,0.2.5,,,,,,,,
table_4_1_core_libraries.csv,langchain-groq,Utility,0.1.5,,,,,,,,
table_4_2_xgboost_features.csv,price_lag_1,Price lagged by 1 day,price.shift(1),Useful for short memory,,,,,,,
table_4_2_xgboost_features.csv,price_lag_2,Price lagged by 2 days,price.shift(2),,,,,,,,
table_4_2_xgboost_features.csv,price_lag_3,Price lagged by 3 days,price.shift(3),,,,,,,,
table_4_2_xgboost_features.csv,price_lag_5,Price lagged by 5 days,price.shift(5),,,,,,,,
table_4_2_xgboost_features.csv,price_lag_7,Price lagged by 7 days,price.shift(7),,,,,,,,
table_4_2_xgboost_features.csv,returns,Percent returns computed as price.pct_change()*100,price.pct_change()*100,Expressed in percent,,,,,,,
table_4_2_xgboost_features.csv,returns_lag_1,One-day lag of returns,returns.shift(1),,,,,,,,
table_4_2_xgboost_features.csv,price_ma_7,7-day moving average of price,price.rolling(7).mean(),Smoothing short-term noise,,,,,,,
table_4_2_xgboost_features.csv,price_vol_7,7-day rolling standard deviation of price (volatility),price.rolling(7).std(),A simple volatility estimator,,,,,,,
table_4_2_xgboost_features.csv,price_mom_7,Price momentum: price - 7-day moving average,price - price.rolling(7).mean(),Measures momentum vs recent average,,,,,,,
table_5_1_test_checklist.csv,Data pipeline - ingestion,Fetch sample symbols and verify DB insert,PASS,Connected and writing rows; handle API rate limits,2025-11-13,Syed,thesis_assets/figures/fig_5_2_kpis_top_marketcap.png,,,,
table_5_1_test_checklist.csv,Dashboard - KPIs,Load page and check totals,PASS,Totals computed; formatted display as expected,2025-11-13,Syed,thesis_assets/figures/fig_5_2_kpis_top_marketcap.png,,,,
table_5_1_test_checklist.csv,Dashboard - Daily movers,Check gainers/losers lists,PASS,Shows top 5 correctly,2025-11-13,Syed,thesis_assets/figures/fig_5_3_daily_movers.png,,,,
table_5_1_test_checklist.csv,Dashboard - Price chart,Candlestick/line for coin,PASS,Line chart with daily resample,2025-11-13,Syed,thesis_assets/figures/fig_5_4_price_line_BTC.png,,,,
table_5_1_test_checklist.csv,Dashboard - Dominance pie,Chart shows top 10 + others,PASS,Verified with top 10,2025-11-13,Syed,thesis_assets/figures/fig_5_5_dominance_pie.png,,,,
table_5_1_test_checklist.csv,Dashboard - Screener,Table loads and format correct,PASS,Columns formatted; sortable,2025-11-13,Syed,thesis_assets/figures/fig_5_6_screener.png,,,,
table_5_1_test_checklist.csv,ML - Normalized comparison,Compare multiple coins on common start,PASS,Aligned correctly and plotted,2025-11-13,Syed,thesis_assets/figures/fig_5_7_normalized_growth.png,,,,
table_5_1_test_checklist.csv,ML - Correlation heatmap,Check heatmap values and handling of small data,PASS,Informs when insufficient data,2025-11-13,Syed,thesis_assets/figures/fig_5_8_correlation_heatmap.png,,,,
table_5_1_test_checklist.csv,ML - Forecast generation,Train and predict with selected model,PASS (depends),Works with Prophet/XGBoost when installed,2025-11-13,Syed,thesis_assets/figures/fig_5_9_forecast_overlay_BTC.png,,,,
table_5_1_test_checklist.csv,Backtesting metrics,Run backtest and read MAPE/RMSE,PASS (sample),Backtest functions implemented; show results or data insufficient message,2025-11-13,Syed,thesis_assets/tables/table_5_2_backtesting_results_sample.csv,,,,
table_5_2_backtesting_results.csv,MATIC,Prophet,7,,,,,1563,,,data_insufficient
table_5_2_backtesting_results.csv,BTC,Prophet,7,,,,,1572,,,data_insufficient
table_5_2_backtesting_results.csv,ETH,Prophet,7,,,,,1570,,,data_insufficient
table_5_2_backtesting_results.csv,USDT,Prophet,7,,,,,1565,,,data_insufficient
table_5_2_backtesting_results.csv,XRP,Prophet,7,,,,,1565,,,data_insufficient
table_6_1_objectives_vs_achievements.csv,Build stable data pipeline,Data collection service using CoinMarketCap->DB,PASS,Handles mapping and inserts,2025-11-13,,,,,,
table_6_1_objectives_vs_achievements.csv,Design readable dashboard,KPI row, gainers/losers, dominance pie, candlestick,PASS,Streamlit layout done,2025-11-13,,,
table_6_1_objectives_vs_achievements.csv,Add multi-coin analysis,Normalized comparison and correlation heatmap,PASS,Normalized growth and correlation added,2025-11-13,,,,,,
table_6_1_objectives_vs_achievements.csv,Add forecasting,Prophet + XGBoost with bounds,PASS (conditional),Works if libs installed; XGBoost feature-engineered,2025-11-13,,,,,,
table_6_1_objectives_vs_achievements.csv,Add evaluation,Backtesting and metrics (MAPE/RMSE),PASS,Simple backtesting implemented; more robust tests possible,2025-11-13,,,,,,
table_6_1_objectives_vs_achievements.csv,Maintain simplicity and extensibility,Modular code and clear interfaces,PARTIAL,Ready to add more models and data sources,2025-11-13,,,,,,
